naics_title,occ_title,state,amount_employed,annual_mean_wage,hourly_mean_wage
Cross-industry,Zoologists and Wildlife Biologists,US,"16,920","$77,920 ",$37.46 
Cross-industry,"Biological Scientists, All Other",US,"59,710","$100,440 ",$48.29 
Cross-industry,Conservation Scientists and Foresters,US,"35,250","$74,410 ",$35.77 
Cross-industry,Conservation Scientists,US,"25,590","$74,310 ",$35.73 
Cross-industry,Foresters,US,"9,650","$74,670 ",$35.90 
Cross-industry,Medical Scientists,US,"167,760","$111,430 ",$53.57 
Cross-industry,Epidemiologists,US,"11,460","$94,160 ",$45.27 
Cross-industry,"Medical Scientists, Except Epidemiologists",US,"156,300","$112,690 ",$54.18 
Cross-industry,Miscellaneous Life Scientists,US,"7,320","$101,940 ",$49.01 
Cross-industry,"Life Scientists, All Other",US,"7,320","$101,940 ",$49.01 
Cross-industry,Physical Scientists,US,"259,000","$104,070 ",$50.03 
Cross-industry,Astronomers and Physicists,US,"22,900","$163,850 ",$78.77 
Cross-industry,Astronomers,US,"1,560","$134,430 ",$64.63 
Cross-industry,Physicists,US,"21,340","$166,000 ",$79.81 
Cross-industry,Atmospheric and Space Scientists,US,"8,780","$103,980 ",$49.99 
Cross-industry,Atmospheric and Space Scientists,US,"8,780","$103,980 ",$49.99 
Cross-industry,Chemists and Materials Scientists,US,"91,580","$97,350 ",$46.80 
Cross-industry,Chemists,US,"83,250","$95,940 ",$46.13 
Cross-industry,Materials Scientists,US,"8,330","$111,410 ",$53.56 
Cross-industry,Environmental Scientists and Geoscientists,US,"113,160","$93,630 ",$45.02 
Cross-industry,"Environmental Scientists and Specialists, Including Health",US,"84,930","$88,640 ",$42.62 
Cross-industry,"Geoscientists, Except Hydrologists and Geographers",US,"22,510","$111,310 ",$53.52 
Cross-industry,Hydrologists,US,"5,720","$98,130 ",$47.18 
Cross-industry,Miscellaneous Physical Scientists,US,"22,580","$123,070 ",$59.17 
Cross-industry,"Physical Scientists, All Other",US,"22,580","$123,070 ",$59.17 
Cross-industry,Social Scientists and Related Workers,US,"279,960","$101,290 ",$48.70 
Cross-industry,Economists,US,"15,880","$130,910 ",$62.94 
Cross-industry,Economists,US,"15,880","$130,910 ",$62.94 
Cross-industry,Survey Researchers,US,"7,720","$73,470 ",$35.32 
Cross-industry,Survey Researchers,US,"7,720","$73,470 ",$35.32 
Cross-industry,Psychologists,US,"154,860","$102,100 ",$49.09 
Cross-industry,Industrial-Organizational Psychologists,US,"1,050","$134,400 ",$64.62 
Cross-industry,Clinical and Counseling Psychologists,US,"72,190","$106,850 ",$51.37 
Cross-industry,School Psychologists,US,"63,830","$93,610 ",$45.01 
Cross-industry,"Psychologists, All Other",US,"17,790","$111,340 ",$53.53 
Cross-industry,Sociologists,US,"2,950","$111,670 ",$53.69 
Cross-industry,Sociologists,US,"2,950","$111,670 ",$53.69 
Cross-industry,Urban and Regional Planners,US,"43,040","$89,730 ",$43.14 
Cross-industry,Urban and Regional Planners,US,"43,040","$89,730 ",$43.14 
Cross-industry,Miscellaneous Social Scientists and Related Workers,US,"55,510","$102,840 ",$49.44 
Cross-industry,Anthropologists and Archeologists,US,"8,070","$71,070 ",$34.17 
Cross-industry,Geographers,US,"1,380","$98,160 ",$47.19 
Cross-industry,Historians,US,"3,140","$78,470 ",$37.73 
